Descricao;Unidade
ALTA TENSAO - PARAFUSO ROSCA DUPLA 16X 600 C/ 4 PORCAS;UN
ALTA TENSAO - PERFIL U;PC
ALTA TENSAO - PINO HASTE DE ACO P/ ISOLADOR P/ CRUZETA 15KV;UN
ALTA TENSAO - PLACA AVISO (ELO FUSIVEL 6H);PC
ALTA TENSAO - PLACA AVISO 220/127 PADRAO CPFL;PC
ALTA TENSAO - PLACA AVISO ALTA TENSAO PADRAO CPFL 15X20;PC
ALTA TENSAO - PLACA AVISO USO EXCLUSIVO CONCESSIONARIA PADRAO CPFL;PC
ALTA TENSAO - PLACA AVISO USO EXCLUSIVO CONSUMIDOR PADRAO CPFL;UN
ALTA TENSAO - PORCA ACO FORJ OLHAL M16X2;PC
ALTA TENSAO - PORCA OLHAL 1/2;PC
ALTA TENSAO - PORCA OLHAL 5/8;PC
ALTA TENSAO - PORCA QUADRADA 16MM;PC
ALTA TENSAO - PROTETOR DE BUCHA 15KV;PC
ALTA TENSAO - SAPATILHA P/CABO DE AÇO ATÉ 9.5 MM;PC
ALTA TENSAO - SELA P/CRUZETA;PC
ALTA TENSAO - SUPORTE ACO EQUIP POSTE CONCRETO D-285MM;PC
ALTA TENSAO - SUPORTE BRAÇO TIPO L;PC
ALTA TENSAO - SUPORTE L P/ CHAVE FUSÍVEL / PARA RAIO;PC
ALTA TENSAO - SUPORTE L P/ TRANSFORMADOR 195X100MM;PC
ALTA TENSAO - SUPORTE L P/ TRANSFORMADOR 225MM;PC
ALTA TENSAO - SUPORTE L P/ TRANSFORMADOR 230MM;PC
ALTA TENSAO - SUPORTE L P/ TRANSFORMADOR 250MM - REDONDO;UN
ALTA TENSAO - SUPORTE L P/ TRANSFORMADOR 300MM;UN
ALTA TENSAO - SUPORTE TERMINAL MUFLA CABO 16-95MM;UN
ALTA TENSAO - TERMINAL BANDEIRA DE TRANSFORMADOR 185MM;PC
ALTA TENSAO - TERMINAL CLOCK CABO 70MM;PC
ALTA TENSAO - TERMINAL COTOVELO P/ MUFLA 12/20KV CABO 35MM (USO EXTERNO);UN
ALTA TENSAO - TERMINAL KL5 (P/ USO NO CABO ATE 240MM);UN
ALTA TENSAO - TERMINAL KL7 (P/ USO NO CABO 50MM);UN
ALTA TENSAO - TERMINAL KLOC KL-1;UN
ALTA TENSAO - TERMINAL KLOC KL-3;UN
ALTA TENSAO - TERMINAL MUFLA 12/20KV CABO 16MM (USO EXTERNO);UN
ALTA TENSAO - TERMINAL MUFLA 12/20KV CABO 35MM (USO EXTERNO);UN
ALTA TENSAO - TERMINAL MUFLA EMENDA COTOVELO P/ MUFLA 12/20KV CABO 35MM (USO EXTERNO);UN
ALTA TENSAO - TRANSF. 75KVA **NAO HOMOLOG / RECONDICIONADO ** ( OLEO - PRI 15KV X SEG 220V );PC
ALTA TENSAO - TRANSF. 75KVA **NAO HOMOLOG** ( OLEO - PRI 15KV X SEG 254V );PC
ALTA TENSAO - TRANSFORMADOR 25KVA ( SECO - PRI 15KV X SEG 127/220V ) IP00;PC
ALTA TENSAO - TRANSFORMADOR 30KVA ( OLEO - PRI 15KV X SEG 254V );PC
ALTA TENSAO - TRANSFORMADOR 45KVA ( OLEO - PRI 15KV X SEG 254V );PC
ALTA TENSAO - TRANSFORMADOR 75KVA ( OLEO - PRI 15KV X SEG 254V );PC
ALTA TENSAO - TRANSFORMADOR 75KVA ( OLEO - PRI 15KV X SEG 254V ) ** ECOLOGICO ** SPACE;PC
ALTA TENSAO - TRANSFORMADOR 112.5KVA ( OLEO - PRI 15KV X SEG 254V );PC
ALTA TENSAO - TRANSFORMADOR 150.0KVA ( OLEO - PRI 15KV X SEG 254V );PC
ALTA TENSAO - TRANSFORMADOR 225.0KVA ( OLEO - PRI 15KV X SEG 254V );PC
ALTA TENSAO - TRANSFORMADOR 300.0KVA ( OLEO - PRI 15KV X SEG 254V );PC
ALTA TENSAO - TRANSFORMADOR 300KVA ( SECO - PRI 10.8 A 13.8KV X SEG 220/127V ) ** IP00 **;UN
ALTA TENSAO - TRANSFORMADOR 500KVA ( SECO - PRI 10.8 A 13.8KV X SEG 220/127V ) ** IP00 **;PC
ALTA TENSAO - TRANSFORMADOR 500KVA ( SECO - PRI 10.8 A 13.8KV X SEG 380/220V ) ** IP00 **;PC
ALTA TENSAO - TRANSFORMADOR 750KVA ( OLEO - PRI 15KV X SEG 440/254V );PC
ALTA TENSAO - TRANSFORMADOR TRIFASICO 15KVA COM CAIXA IP21 - REF. A ( SECO - 60HZ 400/220V );PC
ALTA TENSAO - VARA DE MANOBRA VARA ELEMENTOS ( 8PC X 8MT );PC
ALTA TENSAO - VARA DE MANOBRA VARA ELEMENTOS (10PC X 10MT );PC
ALTA TENSAO - VARA DE MANOBRA VARA TELESCOPICO ( 9 ELEMENTOS X 9MT );PC
ALTA TENSAO - VARA DE MANOBRA ** CABECOTE APENAS **;PC
ALTA TENSAO - VARA DE MANOBRA ** SACOLA APENAS **;PC
ALTA TENSAO - VARA TELESCOPICA 6 ELEMENTOS VTT-1/6 RITZ C/ SACOLA CABEÇOTE;PC
ALVENARIA - BANCO DE CONCRETO USINADO;PC
ALVENARIA - CAIXA PASSAGEM BLOCO 20X30X40 CM;UN
ALVENARIA - CAIXA PASSAGEM QUADRADA 30CM (30CM INT. S/ FUNDO + TAMPA);UN
ALVENARIA - CAIXA PASSAGEM QUADRADA 40CM (40CM INT. S/ FUNDO + TAMPA);UN
ALVENARIA - CAIXA PASSAGEM REDONDA 40CM (30CM INT. S/ FUNDO + TAMPA / 4FUROS);PC
ALVENARIA - CAIXA PASSAGEM REDONDA 50CM (40CM INT. S/ FUNDO + TAMPA / 4FUROS);UN
ALVENARIA - MALHA POP (1/4);UN
ALVENARIA - MT CONCRETO;UN
ALVENARIA - POSTE ALAMBRADO 1.5MT ( 10 X 10CM );UN
ALVENARIA - TAMPA CAIXA PASSAGEM BLOCO 20X30X40 CM;UN
ALVENARIA - TELA ALAMBRADO 1.0MT ALT (RL CM 50MT);UN
ALVENARIA - * MT * ( CONSTRUIDO );PC
AMPERIMETRO QUAD. 50X50 - 250A (ANALOGICO);PC
AMPERIMETRO QUAD. 72X72 - 50A (ANALOGICO);PC
AMPERIMETRO QUAD. 72X72 - 100A (ANALOGICO);PC
AMPERIMETRO QUAD. 72X72 - 400A (ANALOGICO);PC
AMPERIMETRO REDONDO FURO - 50A;PC
ANILHA DE MARCACAO - NUMERO;PC
ANILHA DE MARCACAO - SINAL;PC
ANILHA DE MARCACAO 1.5/4.2MM - LETRA;PC
ANTENA * WIRILESS WON * INTELBRAS 5 GHZ 16DBI (PONTO A PONTO);PC
ANTENA - BASE TRIPE 3/4;PC
ANTENA - ESTRELA 3/4;PC
ANTENA - SUPORTE BRASILIT 3/4;PC
ANTENA - SUPORTE PAREDE BRAÇO CURVO 40CM;PC
ANTENA - SUPORTE PAREDE 3/4 - CAVALETE - DUPLO;UN
ANTENA - SUPORTE PAREDE 3/4 - CAVALETE - SIMPLES;UN
ANTENA - SUPORTE PAREDE 3/4 - DUPLO;PC
ANTENA - SUPORTE PAREDE 3/4 - SIMPLES;PC
ANTENA - SUPORTE TELHADO 3/4;PC
ANTENA DIGITAL LOG. (10/16 ELEMENTOS) 14 DBI 1014;PC
ANTENA DIGITAL LOG. (32/38 ELEMENTOS);PC
ANTENA DIGITAL ** INTERNA ** (CABO 4.3 MT);PC
AR CONDICIONADO -- ** KIT INSTALAÇAO (BASICO) **;PC
AR CONDICIONADO -- MAQUINA *AGRATTO/PHILCO/FONTAI* COMUM 9.000 BTU;UN
AR CONDICIONADO -- MAQUINA *AGRATTO/PHILCO/FONTAI* COMUM 9.000 BTU - QUENTE/FRIO;PC
AR CONDICIONADO -- MAQUINA *AGRATTO/PHILCO/FONTAI* COMUM 12.000 BTU;UN
AR CONDICIONADO -- MAQUINA *AGRATTO/PHILCO/FONTAI* COMUM 12.000 BTU - QUENTE/FRIO;UN
AR CONDICIONADO -- MAQUINA *AGRATTO/PHILCO/FONTAI* COMUM 18.000 BTU;UN
AR CONDICIONADO -- MAQUINA *AGRATTO/PHILCO/FONTAI* COMUM 18.000 BTU - QUENTE/FRIO;UN
AR CONDICIONADO -- MAQUINA *AGRATTO/PHILCO/FONTAI* COMUM 22.000 BTU - QUENTE/FRIO;UN
AR CONDICIONADO -- MAQUINA *AGRATTO/PHILCO/FONTAI* COMUM 24.000 BTU;UN
AR CONDICIONADO -- MAQUINA *AGRATTO/PHILCO/FONTAI* COMUM 30.000 BTU;UN
AR CONDICIONADO -- MAQUINA *AGRATTO/PHILCO/FONTAI* COMUM 30.000 BTU - QUENTE/FRIO;UN
AR CONDICIONADO -- MAQUINA *AGRATTO/PHILCO/FONTAI* INVERTER 9.000 BTU ( INVERTER );UN
AR CONDICIONADO -- MAQUINA *AGRATTO/PHILCO/FONTAI* INVERTER 9.000 BTU ( INVERTER + QUENTE);UN
AR CONDICIONADO -- MAQUINA *AGRATTO/PHILCO/FONTAI* INVERTER 12.000 BTU ( INVERTER );UN
AR CONDICIONADO -- MAQUINA *AGRATTO/PHILCO/FONTAI* INVERTER 12.000 BTU ( INVERTER + QUENTE );UN
AR CONDICIONADO -- MAQUINA *AGRATTO/PHILCO/FONTAI* INVERTER 18.000 BTU ( INVERTER );UN
AR CONDICIONADO -- MAQUINA *AGRATTO/PHILCO/FONTAI* INVERTER 18.000 BTU ( INVERTER + QUENTE );UN
AR CONDICIONADO -- MAQUINA *AGRATTO/PHILCO/FONTAI* INVERTER 22.000 BTU ( INVERTER );UN
AR CONDICIONADO -- MAQUINA *AGRATTO/PHILCO/FONTAI* INVERTER 22.000 BTU ( INVERTER + QUENTE );UN
AR CONDICIONADO -- MAQUINA *AGRATTO/PHILCO/FONTAI* INVERTER 24.000 BTU ( INVERTER );UN
AR CONDICIONADO -- MAQUINA *AGRATTO/PHILCO/FONTAI* INVERTER 24.000 BTU ( INVERTER + QUENTE );UN
AR CONDICIONADO -- MAQUINA *AGRATTO/PHILCO/FONTAI* INVERTER 30.000 BTU ( INVERTER );UN
AR CONDICIONADO -- MAQUINA *AGRATTO/PHILCO/FONTAI* INVERTER 36.000 BTU ( PISO TETO );UN
AR CONDICIONADO -- MAQUINA *AGRATTO/PHILCO/FONTAI* INVERTER 48.000 BTU ( PISO TETO );UN
AR CONDICIONADO -- MAQUINA *AGRATTO/PHILCO/FONTAI* INVERTER 60.000 BTU ( INVERTER );UN
AR CONDICIONADO -- MAQUINA *ELGIN* COMUM 9.000 BTU;UN
AR CONDICIONADO -- MAQUINA *ELGIN* COMUM 12.000 BTU;UN
AR CONDICIONADO -- MAQUINA *ELGIN* COMUM 18.000 BTU;UN
AR CONDICIONADO -- MAQUINA *ELGIN* COMUM 24.000 BTU;PC
AR CONDICIONADO -- MAQUINA *ELGIN* COMUM 30.000 BTU;UN
AR CONDICIONADO -- MAQUINA *ELGIN* COMUM 36.000 BTU;UN
AR CONDICIONADO -- MAQUINA *ELGIN* COMUM 60.000 BTU;PC
AR CONDICIONADO -- MAQUINA *ELGIN* CORTINA DE SAIDA AR ( 90CM / 220V );UN
AR CONDICIONADO -- MAQUINA *ELGIN* CORTINA DE SAIDA AR ( 120CM / 220V );UN
AR CONDICIONADO -- MAQUINA *ELGIN* CORTINA DE SAIDA AR ( 150CM / 220V );UN
AR CONDICIONADO -- MAQUINA *ELGIN* INVERTER 9.000 BTU ( INVERTER );UN
AR CONDICIONADO -- MAQUINA *ELGIN* INVERTER 12.000 BTU ( INVERTER );UN
AR CONDICIONADO -- MAQUINA *ELGIN* INVERTER 12.000 BTU ( INVERTER **QUENTE / FRIO** );UN
AR CONDICIONADO -- MAQUINA *ELGIN* INVERTER 18.000 BTU ( INVERTER );UN
AR CONDICIONADO -- MAQUINA *ELGIN* INVERTER 24.000 BTU ( INVERTER );PC
AR CONDICIONADO -- MAQUINA *ELGIN* INVERTER 30.000 BTU ( INVERTER );PC
AR CONDICIONADO -- MAQUINA *ELGIN* INVERTER 36.000 BTU ( INVERTER );PC
AR CONDICIONADO -- MAQUINA *ELGIN* INVERTER 60.000 BTU ( INVERTER );PC
AR CONDICIONADO - SERVICO - ESTANQUEIDADE TUBOLAÇAO DE COBRE 1/4;PCT
AR CONDICIONADO - SERVICO - ESTANQUEIDADE TUBOLAÇAO DE COBRE 3/8;PC
AR CONDICIONADO - SERVICO - HIGIENIZAÇAO AR ACJ (JANELA);PC
AR CONDICIONADO -- BOMBA DE DRENO 220V;PC
AR CONDICIONADO - CAIXA EMB. P/ SPLIT ( SIMPLES ) ** ENCOMENDA **;UN
AR CONDICIONADO - CAIXA EMB. P/ SPLIT ( PEQUENA - 3S );UN
AR CONDICIONADO - CAIXA EMB. P/ SPLIT ( GRANDE - GR38 );UN
AR CONDICIONADO - CANALETA DRENO BRANCA - CURVA;UN
AR CONDICIONADO - CANALETA DRENO BRANCA - CURVA EXTERNA;UN
AR CONDICIONADO - CANALETA DRENO BRANCA - CURVA INTERNA;UN
AR CONDICIONADO - CANALETA DRENO BRANCA - EMENDA;UN
AR CONDICIONADO - CANALETA DRENO BRANCA - SAÍDA;UN
AR CONDICIONADO - CANALETA DRENO BRANCA 8CM - 2MT;UN
AR CONDICIONADO - DRENO MANGUEIRA CRISTAL ( 6MM );UN
AR CONDICIONADO - DRENO MANGUEIRA CRISTAL 3/4 X 1.3MM;MT
AR CONDICIONADO - FERRAMENTA CORTADOR TUBO COBRE;PC
AR CONDICIONADO - FITA ELASTOMÉRICA;PC
AR CONDICIONADO - FITA PVC BRANCA (10MT);PC
AR CONDICIONADO - ISOLANTE ELASTOMERICO 1/4 (2 MT);PC
AR CONDICIONADO - ISOLANTE ELASTOMERICO 1/2 (2 MT);PC
AR CONDICIONADO - ISOLANTE ELASTOMERICO 5/8 (2 MT);PC
AR CONDICIONADO - ISOLANTE ESPUMA BRANCO 1/4 (2 MT);PC
AR CONDICIONADO - ISOLANTE ESPUMA BRANCO 3/8 (2 MT);PC
AR CONDICIONADO - ISOLANTE ESPUMA BRANCO 7/8 (2 MT);PC
AR CONDICIONADO - ISOLANTE ESPUMA BRANCO 1/2 (2 MT);PC
AR CONDICIONADO - ISOLANTE ESPUMA BRANCO 5/8 (2 MT);PC
AR CONDICIONADO - ISOLANTE ESPUMA BRANCO 3/4 (2 MT);PC
AR CONDICIONADO - ISOLANTE ESPUMA BRANCO 3/4 (3 MT);PC
AR CONDICIONADO - PISTON 0.93;UN
AR CONDICIONADO - PORCA DE COBRE 1/2;PC
AR CONDICIONADO - PORCA DE COBRE 1/4;PC
AR CONDICIONADO - PORCA DE COBRE 3/8;PC
AR CONDICIONADO - SUPORTE CONDENSADORA 7 A 12 BTU (430MM);UN
AR CONDICIONADO - SUPORTE CONDENSADORA 18 A 24 BTU (500MM);UN
AR CONDICIONADO - SUPORTE CONDENSADORA 30 A 36 BTU (580MM);UN
